>#Samples	Chromosome	OverallSNPs	OverallTiTv	NovelSNPs	NovelTiTv	Non-synonymousSNPs	Non-synonymousTiTv	Novel_non-synonymousSNPs	Novel_non-synonymousTiTv
ERR004043	AllChr	3	2	2	1	3	2	2	1
ERR004047	AllChr	1	0	0	NA	1	0	0	NA
SRR013908	AllChr	4	0.333333333333333	3	0.5	3	0.5	2	1
SRR013909	AllChr	4	3	3	NA	3	2	2	NA
SRR015428	AllChr	2	1	1	0	2	1	1	0
SRR015429	AllChr	3	0.5	2	0	3	0.5	2	0
ERR004043	1	3	2	2	1	3	2	2	1
ERR004047	1	1	0	0	NA	1	0	0	NA
SRR013908	1	4	0.333333333333333	3	0.5	3	0.5	2	1
SRR013909	1	4	3	3	NA	3	2	2	NA
SRR015428	1	2	1	1	0	2	1	1	0
SRR015429	1	3	0.5	2	0	3	0.5	2	0
